organism	gene	rank	peaktime	periodicity_pvalue	regulation_pvalue
9606	ENSP00000299964	205	81	5.82530431649681e-08	0.000671839475139829
9606	ENSP00000358153	206	54	1.58722e-07	0.00025786912
9606	ENSP00000358162	207	54	1.58722e-07	0.00025786912
9606	ENSP00000245787	208	66	1.07061613428337e-07	0.00042880748885284
9606	ENSP00000312625	209	81	5.3769684839836e-10	0.0889365845165101
9606	ENSP00000253799	210	7	1.50065428711968e-10	0.395443479720939
9606	ENSP00000284776	211	0	2.23112346495793e-05	2.77123818589902e-06
9606	ENSP00000320147	214	60	4.0683881792554e-09	0.0165028560911088
9606	ENSP00000383059	215	50	5.514e-09	0.013252346912
9606	ENSP00000250160	216	80	8.7229839000765e-10	0.0859612492992515
9606	ENSP00000321804	217	52	7.79777128519824e-09	0.00992639940591316
9606	ENSP00000262300	218	52	7.79777128519824e-09	0.00992639940591316
9606	ENSP00000361298	219	89	4.451831272539e-11	1.83399305658507
9606	ENSP00000337289	220	56	3.55169903336878e-09	0.0232617317276765
9606	ENSP00000239027	221	55	1.37555331693156e-10	0.600872549809762
9606	ENSP00000352655	222	4	7.28966407640526e-09	0.0113535340351602
9606	ENSP00000336701	223	91	3.77616096e-09	0.0244095423636805
9606	ENSP00000419325	224	82	1.40115e-07	0.000659288136
9606	ENSP00000434614	225	93	2.63182316815875e-10	0.383684533404115
9606	ENSP00000243189	226	30	2.56684264492011e-06	4.02213357414286e-05
9606	ENSP00000261597	227	76	7.45768e-07	0.000151965416
9606	ENSP00000358151	228	22	1.34629860651449e-06	8.72314090930076e-05
9606	ENSP00000358563	231	6	1.28842685354124e-09	0.0947161082155014
9606	ENSP00000247207	232	84	2.18622313753152e-07	0.000565815724063643
9606	ENSP00000219281	233	95	9.39e-09	0.01333957699
9606	ENSP00000242576	234	39	2.18610078441257e-08	0.00599064488856444
9606	ENSP00000311873	235	60	2.3064e-08	0.006113249304
9606	ENSP00000321835	236	3	0.00472805001481144	3.21342920533459e-08
9606	ENSP00000420443	237	4	4.702925607039e-10	0.327065051494831
9606	ENSP00000355090	238	78	9.2361e-07	0.000179345943
9606	ENSP00000392760	239	78	9.2361e-07	0.000179345943
9606	ENSP00000368079	240	78	9.2361e-07	0.000179345943
9606	ENSP00000417464	241	87	2.913e-09	0.057152780676
9606	ENSP00000265056	242	45	2.262202060968e-10	0.75049366155391
9606	ENSP00000328547	243	82	5.09894719297877e-08	0.00339177999142634
9606	ENSP00000253794	244	71	5.1321838211007e-10	0.356476324176307
9606	ENSP00000304669	245	87	6.2839343347703e-10	0.296782396321786
9606	ENSP00000348577	246	87	6.2839343347703e-10	0.296782396321786
9606	ENSP00000220429	247	85	4.58893643453414e-09	0.0407436547948175
9606	ENSP00000287647	248	75	3.62335396873225e-09	0.0541294003224419
9606	ENSP00000361882	249	95	1.44670966532904e-10	1.37296197861073
9606	ENSP00000365694	250	85	4.57840074494e-09	0.047362043246001
9606	ENSP00000373080	251	85	4.57840074494e-09	0.047362043246001
9606	ENSP00000264982	252	94	2.54659329925556e-09	0.0960287043160925
9606	ENSP00000355167	253	31	4.8960294079677e-08	0.00526238273799259
9606	ENSP00000366581	254	62	1.5607e-06	0.000177639729
9606	ENSP00000257787	255	89	1.239e-09	0.22667147004
9606	ENSP00000377504	256	50	1.760115e-06	0.000170004688
9606	ENSP00000166345	257	84	4.07609060755572e-09	0.0751705433914324
9606	ENSP00000356243	258	66	6.22558487677658e-09	0.0545667546482635
9606	ENSP00000308344	259	84	7.34606512631253e-07	0.000491906904085306
9606	ENSP00000228843	260	67	2.307e-09	0.166793906952
9606	ENSP00000289013	261	57	2.774568e-06	0.000138948768
9606	ENSP00000397435	262	1	7.48157433593981e-08	0.00531036142916959
9606	ENSP00000354394	263	77	2.13793724485236e-10	1.86041394058676
9606	ENSP00000252136	264	43	1.7247753574956e-10	2.41814604096581
9606	ENSP00000293328	265	83	3.04121969140378e-09	0.138231956707265
9606	ENSP00000338018	266	2	6.24088021033324e-09	0.0687674410577393
9606	ENSP00000405926	267	8	9.8519238387222e-08	0.00446195583596368
9606	ENSP00000295746	268	81	8.77341e-07	0.00050566386
9606	ENSP00000427108	269	54	3.13058877403217e-07	0.00145275770009846
9606	ENSP00000369703	271	78	2.7728298e-05	1.9731021e-05
9606	ENSP00000387365	272	94	1.57483859996463e-10	3.6277996740178
9606	ENSP00000369213	273	2	1.28311600425452e-05	4.57964074300547e-05
9606	ENSP00000262577	274	82	1.45309861368911e-08	0.0423927551569791
9606	ENSP00000265113	275	25	4.64233691355818e-08	0.014416938635789
9606	ENSP00000333946	276	79	7.6032e-08	0.008981453767
9606	ENSP00000300305	278	51	2.15681087911867e-09	0.326771424954347
9606	ENSP00000360107	279	56	6.84972e-07	0.00103366545
9606	ENSP00000364092	280	63	1.7229e-08	0.04162699628
9606	ENSP00000264233	281	72	2.1963e-08	0.033825708072
9606	ENSP00000320797	282	82	5.4407137243536e-10	1.39525227429051
9606	ENSP00000293879	283	55	7.80772696270538e-09	0.109371297326143
9606	ENSP00000216037	284	32	2.60619474387811e-07	0.00337384427168192
9606	ENSP00000395574	285	59	0.0151369288428624	6.11234196940474e-08
9606	ENSP00000369318	286	67	3.07164341089441e-06	0.000305673182519872
9606	ENSP00000322180	287	53	3.339e-09	0.334943198942
9606	ENSP00000324074	288	96	6.03450771024744e-09	0.198440784398836
9606	ENSP00000418960	289	61	1.13231374463164e-09	1.08146098187656
9606	ENSP00000255120	290	41	1.20239011324224e-09	1.02418053926457
9606	ENSP00000360944	291	74	2.25435e-07	0.00585534222
9606	ENSP00000360891	292	3	0.000292700349169903	4.58486517938914e-06
9606	ENSP00000359258	293	73	8.10680404457247e-08	0.0173328864898729
9606	ENSP00000257934	294	81	7.12596e-07	0.001991981962
9606	ENSP00000046087	296	98	4.308e-09	0.372919988742
9606	ENSP00000349748	297	95	8.11646059639162e-08	0.0198542920957741
9606	ENSP00000298743	298	80	1.33191097879492e-07	0.0132877293688479
9606	ENSP00000367034	299	64	8.153964e-05	2.3487975e-05
9606	ENSP00000468348	300	44	1.32830803706814e-05	0.000147014376170098
9606	ENSP00000364855	301	72	1.72530405313705e-07	0.0134956212152762
9606	ENSP00000371073	302	39	1.2684969e-05	0.000188169318
9606	ENSP00000372689	303	91	9.77481946675584e-09	0.25008911353179
9606	ENSP00000357283	304	90	2.19522148706619e-08	0.123179589106988
9606	ENSP00000323099	305	47	1.170519e-06	0.002507495018
9606	ENSP00000429084	306	47	1.170519e-06	0.002507495018
9606	ENSP00000262177	308	6	1.24888656935616e-09	2.61535746924764
9606	ENSP00000355141	309	93	1.45008930393108e-06	0.00243894923723678
9606	ENSP00000369981	310	61	7.63882601909743e-08	0.0471057513835262
9606	ENSP00000371983	311	0	8.4484167571125e-06	0.000454342747447802
9606	ENSP00000366901	312	93	2.02883688204142e-09	1.94735400213645
9606	ENSP00000296509	313	82	2.86710232134603e-07	0.0139103242412412
9606	ENSP00000334538	314	65	6.06767418212631e-06	0.000663713658709966
9606	ENSP00000333926	315	56	1.78618955470532e-08	0.258654810811167
9606	ENSP00000359052	316	91	0.000675049876171662	7.49465161701939e-06
9606	ENSP00000398124	317	94	1.13538950597025e-07	0.0469771055281887
9606	ENSP00000260810	318	55	3.93211332751261e-06	0.00136915534860542
9606	ENSP00000363055	320	67	2.4771e-08	0.232021685004
9606	ENSP00000433459	322	46	5.51561499786299e-07	0.0108468721787507
9606	ENSP00000413937	323	93	4.58310382834484e-08	0.131482828036774
9606	ENSP00000255759	324	95	3.846616375e-08	0.170929366034815
9606	ENSP00000362820	325	88	3.53198523204241e-08	0.189469959995056
9606	ENSP00000267383	327	59	4.6022664090763e-08	0.176136897707258
9606	ENSP00000336721	328	2	3.45461072636592e-09	2.356620835729
9606	ENSP00000253458	329	1	7.39787808318938e-08	0.117097886280153
9606	ENSP00000281453	330	56	2.8929015511601e-08	0.31150259798085
9606	ENSP00000349722	331	0	1.16561080528893e-08	0.783196171323501
9606	ENSP00000376176	332	91	3.11077105173001e-08	0.296148634607533
9606	ENSP00000319417	333	75	1.39335e-07	0.067712747424
9606	ENSP00000265295	334	87	5.28574e-07	0.01810695965
9606	ENSP00000268616	335	9	9.919072e-06	0.001024631202
9606	ENSP00000355810	336	90	1.88707222078085e-06	0.00548122007337763
9606	ENSP00000380252	337	68	2.57491772871004e-07	0.0403929189889581
9606	ENSP00000055077	338	56	8.41041e-07	0.012493719777
9606	ENSP00000361043	339	57	8.325e-09	1.266598274088
9606	ENSP00000414687	340	75	1.90647e-07	0.055399288266
9606	ENSP00000352167	342	52	5.38103163418541e-07	0.0202093075717748
9606	ENSP00000248975	343	92	6.41961690382339e-09	1.72394810423099
9606	ENSP00000305056	345	53	0.000233841193041709	4.9530475413267e-05
9606	ENSP00000367220	346	57	1.31501128015357e-07	0.0884843361911971
9606	ENSP00000323050	347	53	2.06455444145e-07	0.058123563722622
9606	ENSP00000291442	348	10	4.4943545724e-09	2.67166907877216
9606	ENSP00000345892	349	89	1.01574e-07	0.123244058325
9606	ENSP00000302578	350	15	1.997e-08	0.684915540112
9606	ENSP00000365107	351	59	3.72831e-07	0.038908754788
9606	ENSP00000349250	352	81	3.6261e-08	0.401788490457
9606	ENSP00000247843	353	66	5.88011647092723e-09	2.54040946878463
9606	ENSP00000430338	354	41	4.69310639041031e-07	0.0322001475611859
9606	ENSP00000309181	355	41	4.69310639041031e-07	0.0322001475611859
9606	ENSP00000242786	356	94	9.0234e-08	0.16832342925
9606	ENSP00000283426	357	92	1.1996022e-05	0.001277982708
9606	ENSP00000366330	358	83	9.03076586542433e-07	0.017011935166313
9606	ENSP00000267339	359	50	4.24854e-07	0.0368282762
9606	ENSP00000321389	360	62	0.000322161766032914	5.96873192439506e-05
9606	ENSP00000383986	361	50	1.97982668487839e-08	0.985701651273512
9606	ENSP00000330671	362	50	1.97982668487839e-08	0.985701651273512
9606	ENSP00000307423	363	81	3.51072557430588e-09	5.67919566127061
9606	ENSP00000229633	364	87	9.35278602527247e-05	0.000214489708016186
9606	ENSP00000356549	365	56	0.005394457998	3.726009e-06
9606	ENSP00000357380	366	79	2.75305713662086e-08	0.735668813822992
9606	ENSP00000367893	367	3	4.14720054866522e-09	4.93838584933273
9606	ENSP00000261844	368	51	3.45477236331004e-07	0.0593115950575918
